,name,country,sport,g_medal,s_medal,b_medal
1926,duop thomas reath,AUS,Basketball,0,0,1
1927,jack cleary,AUS,Rowing,0,0,1
1928,cate campbell,AUS,Swimming,0,0,1
1929,hiroki muto,JPN,Archery,0,0,1
1930,harmanpreet singh,IND,Hockey,0,0,1
1931,kelland o'brien,AUS,Cycling Track,0,0,1
1932,amit rohidas,IND,Hockey,0,0,1
1933,raz hershko,ISR,Judo,0,0,1
1934,frederic vystavel,DEN,Rowing,0,0,1
1935,hannes aigner,GER,Canoe Slalom,0,0,1
1936,mariia novolodskaia,ROC,Cycling Track,0,0,1
1937,hannah martin,GBR,Hockey,0,0,1
1938,nina christen,SUI,Shooting,0,0,1
1939,dejan majstorovic,SRB,3x3 Basketball,0,0,1
1940,linda indergand,SUI,Cycling Mountain Bike,0,0,1
1941,marcus daniell,NZL,Tennis,0,0,1
1942,mikhail artamonov,ROC,Taekwondo,0,0,1
1943,gudaf tsegay,ETH,Athletics,0,0,1
1944,camille lecointre,FRA,Sailing,0,0,1
1945,helena wisniewska,POL,Canoe Sprint,0,0,1
1946,zhiting zhang,CHN,3x3 Basketball,0,0,1
1947,luisa veras stefani,BRA,Tennis,0,0,1
1948,dechang zhang,CHN,Rowing,0,0,1
1949,tamerlan bashaev,ROC,Judo,0,0,1
1950,elina svitolina,UKR,Tennis,0,0,1
1951,agnese duranti,ITA,Rhythmic Gymnastics,0,0,1
1952,viniana riwai,FIJ,Rugby Sevens,0,0,1
1953,alejandra valencia,MEX,Archery,0,0,1
1954,fernando beltran,MEX,Football,0,0,1
1955,tomokazu harimoto,JPN,Table Tennis,0,0,1
1956,guillermo ochoa,MEX,Football,0,0,1
1957,chris goulding,AUS,Basketball,0,0,1
1958,alexander choupenitch,CZE,Fencing,0,0,1
1959,sebastian sole,ARG,Volleyball,0,0,1
1960,kelley ohara,USA,Football,0,0,1
1961,yeldos smetov,KAZ,Judo,0,0,1
1962,liang zhang,CHN,Rowing,0,0,1
1963,abdullah alrashidi,KUW,Shooting,0,0,1
1964,arianna errigo,ITA,Fencing,0,0,1
1965,aidan walsh,IRL,Boxing,0,0,1
1966,roneisha mcgregor,JAM,Athletics,0,0,1
1967,annemiek bekkering,NED,Sailing,0,0,1
1968,marton vamos,HUN,Water Polo,0,0,1
1969,valerie adams,NZL,Athletics,0,0,1
1970,luis malagon,MEX,Football,0,0,1
1971,sailike walihan,CHN,Wrestling,0,0,1
1972,kieran smith,USA,Swimming,0,0,1
1973,matteo castaldo,ITA,Rowing,0,0,1
1974,segeon ma,KOR,Fencing,0,0,1
1975,gleb bakshi,ROC,Boxing,0,0,1
1976,rodrigo isgro,ARG,Rugby Sevens,0,0,1
1977,gulnaz badykova,ROC,Cycling Track,0,0,1
1978,johannes frey,GER,Judo,0,0,1
1979,sebastian seidl,GER,Judo,0,0,1
1980,federico pereyra,ARG,Volleyball,0,0,1
1981,althea laurin,FRA,Taekwondo,0,0,1
1982,aleksandar ratkov,SRB,3x3 Basketball,0,0,1
1983,tzuyun wen,TPE,Karate,0,0,1
1984,baboloki thebe,BOT,Athletics,0,0,1
1985,imam khataev,ROC,Boxing,0,0,1
1986,ahmed tijan,QAT,Beach Volleyball,0,0,1
1987,daniel cargnin,BRA,Judo,0,0,1
1988,carli lloyd,USA,Football,0,0,1
1989,nick itkin,USA,Fencing,0,0,1
1990,vanda valyi,HUN,Water Polo,0,0,1
1991,eumir marcial,PHI,Boxing,0,0,1
1992,marco di costanzo,ITA,Rowing,0,0,1
1993,rowena meredith,AUS,Rowing,0,0,1
1994,dina asher-smith,GBR,Athletics,0,0,1
1995,sarah robles,USA,Weightlifting,0,0,1
1996,dario alvarez,DOM,Baseball/Softball,0,0,1
1997,bryce deadmon,USA,Athletics,0,0,1
1998,antonino pizzolato,ITA,Weightlifting,0,0,1
1999,sanne van dijke,NED,Judo,0,0,1
2000,federico burdisso,ITA,Swimming,0,0,1
2001,federico burdisso,ITA,Swimming,0,0,1
2002,vanesa kaladzinskaya,BLR,Wrestling,0,0,1
2003,alda magyari,HUN,Water Polo,0,0,1
2004,mohamed ibrahim elsayed elsayed,EGY,Wrestling,0,0,1
2005,funa nakayama,JPN,Skateboarding,0,0,1
2006,bojana milenkovic,SRB,Volleyball,0,0,1
2007,yuta watanabe,JPN,Badminton,0,0,1
2008,tadej pogacar,SLO,Cycling Road,0,0,1
2009,simone biles,USA,Artistic Gymnastics,0,0,1
2010,isabelle petter,GBR,Hockey,0,0,1
2011,tijana bogdanovic,SRB,Taekwondo,0,0,1
2012,henry fieldman,GBR,Rowing,0,0,1
2013,michael venus,NZL,Tennis,0,0,1
2014,amuro tsuzuki,JPN,Surfing,0,0,1
2015,lynn williams,USA,Football,0,0,1
2016,ho ching lee,HKG,Table Tennis,0,0,1
2017,isaac cooper,AUS,Swimming,0,0,1
2018,iryna kindzerska,AZE,Judo,0,0,1
2019,rafig huseynov,AZE,Wrestling,0,0,1
2020,maryna aleksiiva,UKR,Artistic Swimming,0,0,1
2021,saken bibossinov,KAZ,Boxing,0,0,1
2022,alowesi nakoci,FIJ,Rugby Sevens,0,0,1
2023,ese brume,NGR,Athletics,0,0,1
2024,endene miyem,FRA,Basketball,0,0,1
2025,krisztina garda,HUN,Water Polo,0,0,1
2026,takaharu furukawa,JPN,Archery,0,0,1
2027,takaharu furukawa,JPN,Archery,0,0,1
2028,erick aguirre,MEX,Football,0,0,1
2029,tsukimi namiki,JPN,Boxing,0,0,1
2030,emily seebohm,AUS,Swimming,0,0,1
2031,santiago mare,ARG,Rugby Sevens,0,0,1
2032,jordi xammar hernandez,ESP,Sailing,0,0,1
2033,ariel torres gutierrez,USA,Karate,0,0,1
2034,sarah evans,GBR,Hockey,0,0,1
2035,silvija popovic,SRB,Volleyball,0,0,1
2036,milena rasic,SRB,Volleyball,0,0,1
2037,balazs erdelyi,HUN,Water Polo,0,0,1
2038,facundo conte,ARG,Volleyball,0,0,1
2039,lautaro bazan velez,ARG,Rugby Sevens,0,0,1
2040,thomas ploessel,GER,Sailing,0,0,1
2041,mykhailo romanchuk,UKR,Swimming,0,0,1
2042,anastasiya savchuk,UKR,Artistic Swimming,0,0,1
2043,anastasiya savchuk,UKR,Artistic Swimming,0,0,1
2044,vasiti solikoviti,FIJ,Rugby Sevens,0,0,1
2045,nurislam sanayev,KAZ,Wrestling,0,0,1
2046,alexander massialas,USA,Fencing,0,0,1
2047,josef dostal,CZE,Canoe Sprint,0,0,1
2048,kate douglass,USA,Swimming,0,0,1
2049,wei pang,CHN,Shooting,0,0,1
2050,anastasiia voinova,ROC,Cycling Track,0,0,1
2051,chaopan lin,CHN,Artistic Gymnastics,0,0,1
2052,serghei tarnovschi,MDA,Canoe Sprint,0,0,1
2053,hoi kem doo,HKG,Table Tennis,0,0,1
2054,martina centofanti,ITA,Rhythmic Gymnastics,0,0,1
2055,imani lansiquot,GBR,Athletics,0,0,1
2056,ria thompson,AUS,Rowing,0,0,1
2057,lars rudiger,GER,Diving,0,0,1
2058,aifric keogh,IRL,Rowing,0,0,1
2059,gregory wathelet,BEL,Equestrian,0,0,1
2060,cory juneau,USA,Skateboarding,0,0,1
2061,rebecca parkes,HUN,Water Polo,0,0,1
2062,natasa rybanska,HUN,Water Polo,0,0,1
2063,marta fiedina,UKR,Artistic Swimming,0,0,1
2064,marta fiedina,UKR,Artistic Swimming,0,0,1
2065,juan ramon francisco gonzalez,DOM,Baseball/Softball,0,0,1
2066,giovanna scoccimarro,GER,Judo,0,0,1
2067,zifeng wang,CHN,Rowing,0,0,1
2068,zulfiya chinshanlo,KAZ,Weightlifting,0,0,1
2069,taylor manson,USA,Athletics,0,0,1
2070,igor son,KAZ,Weightlifting,0,0,1
2071,sydney pickrem,CAN,Swimming,0,0,1
2072,wai sze lee,HKG,Cycling Track,0,0,1
2073,radek slouf,CZE,Canoe Sprint,0,0,1
2074,bruno rosetti,ITA,Rowing,0,0,1
2075,joachim sutton,DEN,Rowing,0,0,1
2076,gonzalo perez de vargas moreno,ESP,Handball,0,0,1
2077,charlie valerio,DOM,Baseball/Softball,0,0,1
2078,gergo zalanki,HUN,Water Polo,0,0,1
2079,mihailo vasic,SRB,3x3 Basketball,0,0,1
2080,rohan dennis,AUS,Cycling Road,0,0,1
2081,josh kerr,GBR,Athletics,0,0,1
2082,andrea herzog,GER,Canoe Slalom,0,0,1
2083,kamshybek kunkabayev,KAZ,Boxing,0,0,1
2084,hong liu,CHN,Athletics,0,0,1
2085,toni kanaet,CRO,Taekwondo,0,0,1
2086,jingyuan zou,CHN,Artistic Gymnastics,0,0,1
2087,jiyuan wan,CHN,3x3 Basketball,0,0,1
2088,ali sofuoglu,TUR,Karate,0,0,1
2089,martina batini,ITA,Fencing,0,0,1
2090,kylie masse,CAN,Swimming,0,0,1
2091,seojeong yeo,KOR,Artistic Gymnastics,0,0,1
2092,madina taimazova,ROC,Judo,0,0,1
2093,raevyn rogers,USA,Athletics,0,0,1
2094,silje solberg,NOR,Handball,0,0,1
2095,ezequiel palacios,ARG,Volleyball,0,0,1
2096,michelle kroppen,GER,Archery,0,0,1
2097,gustavo nunez,DOM,Baseball/Softball,0,0,1
2098,bronte campbell,AUS,Swimming,0,0,1
2099,lazaro alvarez estrada,CUB,Boxing,0,0,1
2100,daniel angyal,HUN,Water Polo,0,0,1
2101,julen aguinagalde aquizu,ESP,Handball,0,0,1
2102,candice mcleod,JAM,Athletics,0,0,1
2103,nathan sobey,AUS,Basketball,0,0,1
2104,lili wang,CHN,3x3 Basketball,0,0,1
2105,krisztian toth,HUN,Judo,0,0,1
2106,junghwan kim,KOR,Fencing,0,0,1
2107,oleh omelchuk,UKR,Shooting,0,0,1
2108,annette duetz,NED,Sailing,0,0,1
2109,nicolas touzaint,FRA,Equestrian,0,0,1
2110,jaeho song,KOR,Fencing,0,0,1
2111,bruno fratus,BRA,Swimming,0,0,1
2112,charline schwarz,GER,Archery,0,0,1
2113,ryomei tanaka,JPN,Boxing,0,0,1
2114,zenfira magomedalieva,ROC,Boxing,0,0,1
2115,marit bouwmeester,NED,Sailing,0,0,1
2116,abdel rahman almasatfa,JOR,Karate,0,0,1
2117,zhiqiang wu,CHN,Athletics,0,0,1
2118,pusarla venkata sindhu,IND,Badminton,0,0,1
2119,kyle douglas dake,USA,Wrestling,0,0,1
2120,jennifer salling,CAN,Baseball/Softball,0,0,1
2121,nouchka fontijn,NED,Boxing,0,0,1
2122,cismery dominga santana peguero,DOM,Weightlifting,0,0,1
2123,gili sharir,ISR,Judo,0,0,1
2124,kyo don in,KOR,Taekwondo,0,0,1
2125,thomas george,GBR,Rowing,0,0,1
2126,woong tae jun,KOR,Modern Pentathlon,0,0,1
2127,raul entrerrios rodriguez,ESP,Handball,0,0,1
2128,olena kostevych,UKR,Shooting,0,0,1
2129,daria shmeleva,ROC,Cycling Track,0,0,1
2130,anthony sinisuka ginting,INA,Badminton,0,0,1
2131,alberta santuccio,ITA,Fencing,0,0,1
2132,alexia chartereau,FRA,Basketball,0,0,1
2133,katie zaferes,USA,Triathlon,0,0,1
2134,tina punzel,GER,Diving,0,0,1
2135,sergey semenov,ROC,Wrestling,0,0,1
2136,alice volpi,ITA,Fencing,0,0,1
2137,bolortuya bat ochir,MGL,Wrestling,0,0,1
2138,joey lye,CAN,Baseball/Softball,0,0,1
2139,erick mejia,DOM,Baseball/Softball,0,0,1
2140,urantsetseg munkhbat,MGL,Judo,0,0,1
2141,yasemin adar,TUR,Wrestling,0,0,1
2142,denis maksymilian kudla,GER,Wrestling,0,0,1
2143,dominic ressel,GER,Judo,0,0,1
2144,janet leung,CAN,Baseball/Softball,0,0,1
2145,nicolo martinenghi,ITA,Swimming,0,0,1
2146,nicolo martinenghi,ITA,Swimming,0,0,1
2147,anton pliesnoi,GEO,Weightlifting,0,0,1
2148,rita keszthelyi,HUN,Water Polo,0,0,1
2149,emma wilson,GBR,Sailing,0,0,1
2150,karl-richard frey,GER,Judo,0,0,1
2151,seif eissa,EGY,Taekwondo,0,0,1
2152,diego lainez,MEX,Football,0,0,1
2153,sebastian jurado,MEX,Football,0,0,1
2154,daniela mogurean,ITA,Rhythmic Gymnastics,0,0,1
2155,lavenia tinai,FIJ,Rugby Sevens,0,0,1
2156,hsiao-wen huang,TPE,Boxing,0,0,1
2157,eduard trippel,GER,Judo,0,0,1
2158,thomas daley,GBR,Diving,0,0,1
2159,liudmyla luzan,UKR,Canoe Sprint,0,0,1
2160,taylor madison ruck,CAN,Swimming,0,0,1
2161,shamsher singh,IND,Hockey,0,0,1
2162,hayden wilde,NZL,Triathlon,0,0,1
2163,fabrice zango hugues,BUR,Athletics,0,0,1
2164,maryna aleksiiva,UKR,Artistic Swimming,0,0,1
2165,iryna koliadenko,UKR,Wrestling,0,0,1
2166,gaston revol,ARG,Rugby Sevens,0,0,1
2167,yaroslava mahuchikh,UKR,Athletics,0,0,1
2168,regan smith,USA,Swimming,0,0,1
2169,maikel van der vleuten,NED,Equestrian,0,0,1
2170,alexander graham,AUS,Swimming,0,0,1
2171,alexander graham,AUS,Swimming,0,0,1
2172,kristie mewis,USA,Football,0,0,1
2173,ugur aktas,TUR,Karate,0,0,1
2174,myles nazem amine,SMR,Wrestling,0,0,1
2175,sebastian brendel,GER,Canoe Sprint,0,0,1
2176,henny reistad,NOR,Handball,0,0,1
2177,emma entzminger,CAN,Baseball/Softball,0,0,1
2178,giana lotfy,EGY,Karate,0,0,1
2179,sam welsford,AUS,Cycling Track,0,0,1
2180,santiago alvarez,ARG,Rugby Sevens,0,0,1
2181,noe ponti,SUI,Swimming,0,0,1
2182,alix duchet,FRA,Basketball,0,0,1
2183,giselle ansley,GBR,Hockey,0,0,1
2184,dilpreet singh,IND,Hockey,0,0,1
2185,wen-huei chen,TPE,Weightlifting,0,0,1
2186,aremi fuentes zavala,MEX,Weightlifting,0,0,1
2187,bianka busa,SRB,Volleyball,0,0,1
2188,ryutaro araga,JPN,Karate,0,0,1
2189,natalie wideman,CAN,Baseball/Softball,0,0,1
2190,chia-ling lo,TPE,Taekwondo,0,0,1
2191,shamil borchashvili,AUT,Judo,0,0,1
2192,kazuma kaya,JPN,Artistic Gymnastics,0,0,1
2193,aniko gyongyossy,HUN,Water Polo,0,0,1
2194,anna-frances toman,GBR,Hockey,0,0,1
2195,bryony page,GBR,Trampoline Gymnastics,0,0,1
2196,rossella fiamingo,ITA,Fencing,0,0,1
2197,birendra lakra,IND,Hockey,0,0,1
2198,matthew dellavedova,AUS,Basketball,0,0,1
2199,lisa scheenaard,NED,Rowing,0,0,1
2200,emma white,USA,Cycling Track,0,0,1
2201,mohammadhadi saravi,IRI,Wrestling,0,0,1
2202,iliana rupert,FRA,Basketball,0,0,1
2203,emily hegarty,IRL,Rowing,0,0,1
2204,maja ognjenovic,SRB,Volleyball,0,0,1
2205,diandra tchatchouang,FRA,Basketball,0,0,1
2206,jose bautista,DOM,Baseball/Softball,0,0,1
2207,heeyong kong,KOR,Badminton,0,0,1
2208,rusila nagasau,FIJ,Rugby Sevens,0,0,1
2209,joshua bugajski,GBR,Rowing,0,0,1
2210,youngjun kweon,KOR,Fencing,0,0,1
2211,annie lazor,USA,Swimming,0,0,1
2212,evan dunfee,CAN,Athletics,0,0,1
2213,john peers,AUS,Tennis,0,0,1
2214,wai yam minnie soo,HKG,Table Tennis,0,0,1
2215,bekzod abdurakhmonov,UZB,Wrestling,0,0,1
2216,karim-florent laghouag,FRA,Equestrian,0,0,1
2217,sebastian cordova,MEX,Football,0,0,1
2218,gerek meinhardt,USA,Fencing,0,0,1
2219,letesenbet gidey,ETH,Athletics,0,0,1
2220,catarina macario,USA,Football,0,0,1
2221,arisa higashino,JPN,Badminton,0,0,1
2222,thomas neill,AUS,Swimming,0,0,1
2223,akiyo noguchi,JPN,Sport Climbing,0,0,1
2224,alice kinsella,GBR,Artistic Gymnastics,0,0,1
2225,gabriella szucs,HUN,Water Polo,0,0,1
2226,becky sauerbrunn,USA,Football,0,0,1
2227,tadeusz michalik,POL,Wrestling,0,0,1
2228,jagger eaton,USA,Skateboarding,0,0,1
2229,kirsten wild,NED,Cycling Track,0,0,1
2230,shuai zhao,CHN,Taekwondo,0,0,1
2231,vincent luis,FRA,Triathlon,0,0,1
2232,josh green,AUS,Basketball,0,0,1
2233,krisztian manhercz,HUN,Water Polo,0,0,1
2234,kliment kolesnikov,ROC,Swimming,0,0,1
2235,mandeep singh,IND,Hockey,0,0,1
2236,danuta kozak,HUN,Canoe Sprint,0,0,1
2237,izaac stubblety-cook,AUS,Swimming,0,0,1
2238,tijana boskovic,SRB,Volleyball,0,0,1
2239,alla cherkasova,UKR,Wrestling,0,0,1
2240,inbar lanir,ISR,Judo,0,0,1
2241,junior garcia,DOM,Baseball/Softball,0,0,1
2242,joaquin esquivel,MEX,Football,0,0,1
2243,andrew hoy,AUS,Equestrian,0,0,1
2244,stefano oppo,ITA,Rowing,0,0,1
2245,allison schmitt,USA,Swimming,0,0,1
2246,natalie hinds,USA,Swimming,0,0,1
2247,justyna iskrzycka,POL,Canoe Sprint,0,0,1
2248,norbert hosnyanszky,HUN,Water Polo,0,0,1
2249,jeison guzman,DOM,Baseball/Softball,0,0,1
2250,lauren bay regula,CAN,Baseball/Softball,0,0,1
2251,katrina lehis,EST,Fencing,0,0,1
2252,kirani james,GRN,Athletics,0,0,1
2253,yuwei wang,CHN,Rowing,0,0,1
2254,jacob kiplimo,UGA,Athletics,0,0,1
2255,abby dahlkemper,USA,Football,0,0,1
2256,reineris salas perez,CUB,Wrestling,0,0,1
2257,emma mckeon,AUS,Swimming,0,0,1
2258,emma mckeon,AUS,Swimming,0,0,1
2259,emma mckeon,AUS,Swimming,0,0,1
2260,alexis vega,MEX,Football,0,0,1
2261,sanna solberg,NOR,Handball,0,0,1
2262,xingqiang tang,CHN,Athletics,0,0,1
2263,sky brown,GBR,Skateboarding,0,0,1
2264,jack laugher,GBR,Diving,0,0,1
2265,felipe del mestre,ARG,Rugby Sevens,0,0,1
2266,taha akgul,TUR,Wrestling,0,0,1
2267,eleftherios petrounias,GRE,Artistic Gymnastics,0,0,1
2268,aron szilagyi,HUN,Fencing,0,0,1
2269,bianca walkden,GBR,Taekwondo,0,0,1
2270,jisu yoon,KOR,Fencing,0,0,1
2271,leonie periault,FRA,Triathlon,0,0,1
2272,madison wilson,AUS,Swimming,0,0,1
2273,junelle bromfield,JAM,Athletics,0,0,1
2274,teddy riner,FRA,Judo,0,0,1
2275,ana roqica,FIJ,Rugby Sevens,0,0,1
2276,li gong,CHN,Karate,0,0,1
2277,catie de loof,USA,Swimming,0,0,1
2278,matteo lodo,ITA,Rowing,0,0,1
2279,viviana bottaro,ITA,Karate,0,0,1
2280,ana bjelica,SRB,Volleyball,0,0,1
2281,ruth marie christelle gbagbi,CIV,Taekwondo,0,0,1
2282,eduardo aguirre,MEX,Football,0,0,1
2283,janieve russell,JAM,Athletics,0,0,1
2284,mollie o'callaghan,AUS,Swimming,0,0,1
2285,abner teixeira,BRA,Boxing,0,0,1
2286,jiaruixuan xiao,CHN,Shooting,0,0,1
2287,sarolta kovacs,HUN,Modern Pentathlon,0,0,1
2288,brankica mihajlovic,SRB,Volleyball,0,0,1
2289,lydia ko,NZL,Golf,0,0,1
2290,shona mccallin,GBR,Hockey,0,0,1
2291,matti mattsson,FIN,Swimming,0,0,1
2292,christopher six,FRA,Equestrian,0,0,1
2293,rodrigo corrales rodal,ESP,Handball,0,0,1
2294,alexandra patricia morgan,USA,Football,0,0,1
2295,pieter devos,BEL,Equestrian,0,0,1
2296,gregorio paltrinieri,ITA,Marathon Swimming,0,0,1
2297,maja aleksic,SRB,Volleyball,0,0,1
2298,artur naifonov,ROC,Wrestling,0,0,1
2299,gedeon guardiola villaplana,ESP,Handball,0,0,1
2300,chloe dygert,USA,Cycling Track,0,0,1
2301,thomas ford,GBR,Rowing,0,0,1
2302,katie vincent,CAN,Canoe Sprint,0,0,1
2303,susannah townsend,GBR,Hockey,0,0,1
2304,amir hossein zare,IRI,Wrestling,0,0,1
2305,changrim an,KOR,Judo,0,0,1
2306,anna illes,HUN,Water Polo,0,0,1
2307,maria centracchio,ITA,Judo,0,0,1
2308,stine skogrand,NOR,Handball,0,0,1
2309,sarah robertson,GBR,Hockey,0,0,1
2310,lily owsley,GBR,Hockey,0,0,1
2311,mai murakami,JPN,Artistic Gymnastics,0,0,1
2312,jennifer valente,USA,Cycling Track,0,0,1
2313,maykel masso,CUB,Athletics,0,0,1
2314,federica isola,ITA,Fencing,0,0,1
2315,erik vlcek,SVK,Canoe Sprint,0,0,1
2316,allyson felix,USA,Athletics,0,0,1
2317,martin ramos,ARG,Volleyball,0,0,1
2318,samuel balaz,SVK,Canoe Sprint,0,0,1
2319,margaret mac neil,CAN,Swimming,0,0,1
2320,joan cardona mendez,ESP,Sailing,0,0,1
2321,sooyeon choi,KOR,Fencing,0,0,1
2322,adrian mora,MEX,Football,0,0,1
2323,olivia smoliga,USA,Swimming,0,0,1
2324,alison dos santos,BRA,Athletics,0,0,1
2325,kateryna reznik,UKR,Artistic Swimming,0,0,1
2326,harrie lavreysen,NED,Cycling Track,0,0,1
2327,kareena lee,AUS,Marathon Swimming,0,0,1
2328,sarah louise jones,GBR,Hockey,0,0,1
2329,luis romo,MEX,Football,0,0,1
2330,yaime perez,CUB,Athletics,0,0,1
2331,miguel sanchez-migallon naranjo,ESP,Handball,0,0,1
2332,jessica gadirova,GBR,Artistic Gymnastics,0,0,1
2333,mo sheung grace lau,HKG,Karate,0,0,1
2334,frazer clarke,GBR,Boxing,0,0,1
2335,vitezslav vesely,CZE,Athletics,0,0,1
2336,duan domovic bulut,SRB,3x3 Basketball,0,0,1
2337,gadzhimurad rashidov,ROC,Wrestling,0,0,1
2338,jock landale,AUS,Basketball,0,0,1
2339,surender kumar,IND,Hockey,0,0,1
2340,katrine lunde,NOR,Handball,0,0,1
2341,hardik singh,IND,Hockey,0,0,1
2342,pietro ruta,ITA,Rowing,0,0,1
2343,mikiko andoh,JPN,Weightlifting,0,0,1
2344,cherif younousse,QAT,Beach Volleyball,0,0,1
2345,alejandra orozco,MEX,Diving,0,0,1
2346,igor wandtke,GER,Judo,0,0,1
2347,german schulz,ARG,Rugby Sevens,0,0,1
2348,megan tapper,JAM,Athletics,0,0,1
2349,sara groenewegen,CAN,Baseball/Softball,0,0,1
2350,emma oosterwegel,NED,Athletics,0,0,1
2351,carlos alberto ramirez yepes,COL,Cycling BMX Racing,0,0,1
2352,dante exum,AUS,Basketball,0,0,1
2353,sarah michel,FRA,Basketball,0,0,1
2354,i-ching cheng,TPE,Table Tennis,0,0,1
2355,niiaz iliasov,ROC,Judo,0,0,1
2356,declan brooks,GBR,Cycling BMX Freestyle,0,0,1
2357,emilio bonifacio,DOM,Baseball/Softball,0,0,1
2358,nic kay,AUS,Basketball,0,0,1
2359,melky cabrera,DOM,Baseball/Softball,0,0,1
2360,victoria hayward,CAN,Baseball/Softball,0,0,1
2361,johan vasquez,MEX,Football,0,0,1
2362,angel fernandez perez,ESP,Handball,0,0,1
2363,lukas weisshaidinger,AUT,Athletics,0,0,1
2364,mara navarria,ITA,Fencing,0,0,1
2365,matthew john coward holley,GBR,Shooting,0,0,1
2366,yun ju lin,TPE,Table Tennis,0,0,1
2367,marine fauthoux,FRA,Basketball,0,0,1
2368,marieke keijser,NED,Rowing,0,0,1
2369,crystal dunn,USA,Football,0,0,1
2370,shuyu yang,CHN,3x3 Basketball,0,0,1
2371,meg harris,AUS,Swimming,0,0,1
2372,thomas ceccon,ITA,Swimming,0,0,1
2373,damir martin,CRO,Rowing,0,0,1
2374,wooi yik soh,MAS,Badminton,0,0,1
2375,bruno lima,ARG,Volleyball,0,0,1
2376,cristopher crisostomo,DOM,Baseball/Softball,0,0,1
2377,yuehong li,CHN,Shooting,0,0,1
2378,cameron girdlestone,AUS,Rowing,0,0,1
2379,sladana mirkovic,SRB,Volleyball,0,0,1
2380,dorian coninx,FRA,Triathlon,0,0,1
2381,tierna davidson,USA,Football,0,0,1
2382,lucio cinti,ARG,Rugby Sevens,0,0,1
2383,erica cipressa,ITA,Fencing,0,0,1
2384,tian miao,CHN,Rowing,0,0,1
2385,erika brown,USA,Swimming,0,0,1
2386,pernille blume,DEN,Swimming,0,0,1
2387,yelyzaveta yakhno,UKR,Artistic Swimming,0,0,1
2388,kari brattset dale,NOR,Handball,0,0,1
2389,krysta palmer,USA,Diving,0,0,1
2390,bayapo ndori,BOT,Athletics,0,0,1
2391,vivek sagar prasad,IND,Hockey,0,0,1
2392,benjamin thomas,FRA,Cycling Track,0,0,1
2393,fernando scheffer,BRA,Swimming,0,0,1
2394,mariya stadnik,AZE,Wrestling,0,0,1
2395,luka mkheidze,FRA,Judo,0,0,1
2396,marcos moneta,ARG,Rugby Sevens,0,0,1
2397,shohei yabiku,JPN,Wrestling,0,0,1
2398,sebastien vigier,FRA,Cycling Track,0,0,1
2399,gabby williams,FRA,Basketball,0,0,1
2400,tim hecker,GER,Canoe Sprint,0,0,1
